 (Half Day),（半天）
Payment Reconciliation Payment,Payment Reconciliation Payment
Payment Reconciliation Payments,Payment Reconciliation Payments
Payment Type,付款类型
Payment cannot be made for empty cart,请选购商品再进行支付
Payment of salary for the month {0} and year {1},{1}年{0}月和工资支付
Payments,付款
Payments Made,支付的款项
Payments Received,收到的付款
Payments made during the digest period,在摘要期间支付的款项
Payments received during the digest period,在摘要期间收到的付款
Payroll Settings,薪资设置
Pending,等待
Pending Amount,未付金额
Pending Items {0} updated,商品{0}已更新
Pending Review,等待审核
Pending SO Items For Purchase Request,销售订单中等待采购的商品
Pension Funds,养老金
Percent Complete,完成百分比
Percentage Allocation,分配的百分比
Percentage Allocation should be equal to 100%,分配的百分比应该等于100%
Percentage variation in quantity to be allowed while receiving or delivering this item.,在接收或交付中被允许的数量上的变化百分比。
Percentage you are allowed to receive or deliver more against the quantity ordered. For example: If you have ordered 100 units. and your Allowance is 10% then you are allowed to receive 110 units.,在收货或发货时，商品实际收发数量大于订单中该商品数量的百分比。例如：订单中某商品订购量为100件，“允许百分比”设置为10，则该商品实际收发数量最大值为110件。
Performance appraisal.,绩效考核
Period,期间
Period Closing Voucher,期末结转凭证
Periodicity,周期性
Permanent Address,永久地址
Permanent Address Is,永久地址类型
Permission,权限
Personal,个人
Personal Details,个人资料
Personal Email,个人电子邮件
Pharmaceutical,药物
Pharmaceuticals,药物
Phone,电话
Phone No,电话号码
Piecework,计件工作
Pincode,邮政编码
Place of Issue,签发地
Plan for maintenance visits.,维保访问计划
Planned Qty,计划数量
"Planned Qty: Quantity, for which, Production Order has been raised, but is pending to be manufactured.",计划的数量:生产订单的数量正在等待被生产
Planned Quantity,计划数量
Planning,计划
Plant,厂
Plant and Machinery,厂房及机器
Please Enter Abbreviation or Short Name properly as it will be added as Suffix to all Account Heads.,请输入恰当的缩写或简称，因为它会被添加为所有帐户的后缀。
Please Update SMS Settings,请更新短信设置
Please add expense voucher details,请新增支出凭单明细
Please add to Modes of Payment from Setup.,请在设置中添加付款方式
Please check 'Is Advance' against Account {0} if this is an advance entry.,如果是预付款条目则在账户{0}中请勾选'是预付'。
Please click on 'Generate Schedule',请点击'生成计划'
Please click on 'Generate Schedule' to fetch Serial No added for Item {0},请点击'生成计划'来获取商品{0}的已增序列号
Please click on 'Generate Schedule' to get schedule,请在'生成计划'点击获取计划表
Please create Customer from Lead {0},请根据销售引子建立客户{0}
Please create Salary Structure for employee {0},请为员工建立薪酬结构{0}
Please create new account from Chart of Accounts.,请为会计科目表创建新帐户
Please do NOT create Account (Ledgers) for Customers and Suppliers. They are created directly from the Customer / Supplier masters.,请不要为客户和供应商创建账户（分类帐）， 他们被直接创建在客户 / 供应商 基础数据中。
Please enter 'Expected Delivery Date',请输入预计交付日期
Please enter 'Is Subcontracted' as Yes or No,请勾选'是分包' 是或者否
Please enter 'Repeat on Day of Month' field value,请输入'重复每天月的指定天'字段值
Please enter Account Receivable/Payable group in company master,请在公司基础数据中输入应收帐款/应付帐款组
Please enter Approving Role or Approving User,请输入审批角色或审批用户
Please enter BOM for Item {0} at row {1},请输入第{1}行商品{0}的BOM(物料清单)
Please enter Company,请输入公司
Please enter Cost Center,请输入成本中心
Please enter Delivery Note No or Sales Invoice No to proceed,请输入发货单号或销售发票号码进行处理
Please enter Employee Id of this sales parson,请输入此销售的员工号
Please enter Expense Account,请输入费用帐户
Please enter Item Code to get batch no,请输入产品编号以获得批号
Please enter Item Code.,请输入产品编号
Please enter Item first,请先输入商品
Please enter Maintaince Details first,请先输入维保详情
Please enter Master Name once the account is created.,账号创建后请输入数据名称
Please enter Planned Qty for Item {0} at row {1},请在第{1}行输入商品{0}计划的数量
Please enter Production Item first,请先输入生产项
Please enter Purchase Receipt No to proceed,请输入外购入库单进行处理
Please enter Reference date,请输入参考日期
Please enter Warehouse for which Material Request will be raised,请输入物料申请会从哪个仓库获得
Please enter Write Off Account,请输入核销帐户
Please enter atleast 1 invoice in the table,请在表中至少输入一个发票信息
Please enter company first,请先输入公司
Please enter company name first,请先输入公司名称
Please enter default Unit of Measure,请输入默认的计量单位
Please enter default currency in Company Master,请在公司基础数据中输入默认货币
Please enter email address,请输入您的电子邮件地址
Please enter item details,请输入商品细节
Please enter message before sending,在发送前请填写消息
Please enter parent account group for warehouse account,请输入仓库帐户父帐户组
Please enter parent cost center,请输入父成本中心
Please enter quantity for Item {0},请输入商品{0}的数量
Please enter relieving date.,请输入解除日期
Please enter sales order in the above table,请在上述表中输入销售订单
Please enter valid Company Email,请输入有效的公司电邮地址
Please enter valid Email Id,请输入有效的电子邮件
Please enter valid Personal Email,请输入有效的个人电子邮件
Please enter valid mobile nos,请输入有效的手机号
Please find attached Sales Invoice #{0},随函附上销售发票#{0}
Please install dropbox python module,请安装Dropbox的Python模块
Please mention no of visits required,请注明需要访问次数
Please pull items from Delivery Note,请从发货单中提取商品信息
Please save the Newsletter before sending,请在发送之前保存简讯
Please save the document before generating maintenance schedule,在产生维护计划之前请保存档案
Please see attachment,请参阅附件
Please select Bank Account,请选择银行帐户
Please select Carry Forward if you also want to include previous fiscal year's balance leaves to this fiscal year,如果您想让上一年剩余的假期累加到今年，请勾选“假期累计”
Please select Category first,请先选择分类
Please select Charge Type first,请先选择缴费类型
Please select Fiscal Year,请选择会计年度(财年)
Please select Group or Ledger value,请选择组或分类账
Please select Incharge Person's name,请选择Incharge人的名字
Please select Invoice Type and Invoice Number in atleast one row,请至少在其中一行选择发票类型和发票号码
"Please select Item where ""Is Stock Item"" is ""No"" and ""Is Sales Item"" is ""Yes"" and there is no other Sales BOM",请将商品'是库存中商品'选择为否并将'是可销售商品'选择为是;并且没有其它销售的物料清单
Please select Price List,请选择价目表
Please select Start Date and End Date for Item {0},请选择商品{0}开始日期和结束日期
Please select Time Logs.,请选择时间记录。
Please select a csv file,请选择一个csv文件
Please select a valid csv file with data,请选择一个有效csv数据文件
Please select a value for {0} quotation_to {1},请选择报价给{1}的值{0}
"Please select an ""Image"" first",请先选择一个图像
Please select charge type first,请选择缴费类型
Please select company first,请先选择公司
Please select company first.,请先选择一个公司
Please select item code,请先选择商品编码
Please select month and year,请先选择年份和月份
Please select prefix first,请先选择前缀
Please select the document type first,请先选择档案类型
Please select weekly off day,请选择每周休息日
Please select {0},请选择{0}
Please select {0} first,请先选择{0}
Please select {0} first.,请先选择{0}。
Please set Dropbox access keys in your site config,请在您的网站配置设置Dropbox的访问密钥
Please set Google Drive access keys in {0},请在{0}中设置谷歌驱动器的访问密钥
Please set default Cash or Bank account in Mode of Payment {0},请在付款方式{0}中设置默认的现金或银行账户
Please set default value {0} in Company {0},请设置公司{0}的默认值{0}
Please set {0},请设置{0}
Please setup Employee Naming System in Human Resource > HR Settings,请在人力资源 -> 人力资源设置中设置员工命名系统
Please setup numbering series for Attendance via Setup > Numbering Series,通过设置 -> 数字序号中设置考勤的数字序号
Please setup your chart of accounts before you start Accounting Entries,请在会计分录开始前设置您的会计科目表
Please specify,请注明
Please specify Company,请注明公司
Please specify Company to proceed,请注明公司来进行
Please specify Default Currency in Company Master and Global Defaults,请在公司基础数据及全局默认中指定默认货币
Please specify a,请指定一个
Please specify a valid 'From Case No.',Please specify a valid 'From Case No'
Please specify a valid Row ID for {0} in row {1},在第{1}行中为{0}请指定一个有效的行ID
Please specify either Quantity or Valuation Rate or both,请指定无论是数量或估价率或两者都指定
Please submit to update Leave Balance.,请提交并跟新休假余量
Plot,打点
Plot By,Plot By
Point of Sale,POS
Point-of-Sale Setting,POS设置
Post Graduate,研究生
Postal,邮政
Postal Expenses,邮政费用
Posting Date,发布日期
Posting Time,发布时间
Posting date and posting time is mandatory,发布日期和发布时间是必需的
Posting timestamp must be after {0},发布时间戳必须在{0}之后
Potential opportunities for selling.,潜在的销售机会
Preferred Billing Address,首选帐单地址
Preferred Shipping Address,首选送货地址
Prefix,前缀
Present,出席
Prevdoc DocType,Prevdoc DocType
Prevdoc Doctype,Prevdoc Doctyp
Preview,预览
Previous,之前
Previous Work Experience,以前的工作经验
Price,价格
Price / Discount,价格/折扣
Price List,价目表
Price List Currency,价目表货币
Price List Currency not selected,价目表货币没有选择
Price List Exchange Rate,价目表汇率
Price List Name,价目表名称
Price List Rate,价目表价格
Price List Rate (Company Currency),价目表费率（公司货币）
Price List master.,价目表基础数据
Price List must be applicable for Buying or Selling,价目表必须适用于购买或者销售
Price List not selected,没有选择价目表
Price List {0} is disabled,价目表{0}被禁用
Price or Discount,价格或折扣
Pricing Rule,价格规则
Pricing Rule Help,价格规则说明
"Pricing Rule is first selected based on 'Apply On' field, which can be Item, Item Group or Brand.",价格规则是基于“应用于”字段被先选择，其可以是商品，商品组或品牌。
"Pricing Rule is made to overwrite Price List / define discount percentage, based on some criteria.",价格规则是基于某些条筛选件由此来覆盖价目表/定义折扣百分比。
Pricing Rules are further filtered based on quantity.,价格规则进一步基于数量过滤。
Print Format Style,打印格式样式
Print Heading,打印信头
Print Without Amount,打印(没有数量)
Print and Stationary,印刷和文具
Printing and Branding,打印及格式
Priority,优先级
Private Equity,私人股本
Privilege Leave,年假
Probation,试用期
Process Payroll,工资生成
Produced,已生产
Produced Quantity,生产的产品数量
Product Enquiry,产品查询
Production,生产
Production Order,生产订单
Production Order status is {0},生产订单状态为{0}
Production Order {0} must be cancelled before cancelling this Sales Order,这个销售订单被取消之前生产订单{0}必须取消
Production Order {0} must be submitted,生产订单{0}必须是已提交状态
Production Orders,生产订单
Production Orders in Progress,生产进行中的订单
Production Plan Item,生产计划产品
Production Plan Items,生产计划产品
Production Plan Sales Order,生产计划相关的销售订单
Production Plan Sales Orders,销售订单生产计划
Production Planning Tool,生产计划工具
Products,产品
"Products will be sorted by weight-age in default searches. More the weight-age, higher the product will appear in the list.",默认的搜索排序是产品将按照重量进行排序;越重越排在前面
Professional Tax,Professional Tax
Profit and Loss,损益
Profit and Loss Statement,损益表
Project,项目
Project Costing,项目成本核算
Project Details,项目详情
Project Manager,项目经理
Project Milestone,项目里程碑
Project Milestones,项目里程碑
Project Name,项目名称
Project Start Date,项目开始日期
Project Type,项目类型
Project Value,项目价值
Project activity / task.,活动的项目 / 任务
Project master.,项目基础数据
Project will get saved and will be searchable with project name given,项目将得到保存并可通过项目名称进行搜索
Project wise Stock Tracking,项目层面库存追踪
Project-wise data is not available for Quotation,报价相关的项目数据不可用
Projected,预计
Projected Qty,预计数量
Projects,项目
Projects & System,项目 & 系统
Prompt for Email on Submission of,提交操作弹出邮件提醒
Proposal Writing,提案
Provide email id registered in company,提供在公司注册电子邮件
Provisional Profit / Loss (Credit),临时收益/亏损(贷方)
Public,公共的
Published on website at: {0},于{0}发表于网站
Publishing,出版
Pull sales orders (pending to deliver) based on the above criteria,基于上述条件获取销售订单(等待交付)
Purchase,采购
Purchase / Manufacture Details,采购/生产详情
Purchase Analytics,采购分析
Purchase Common,Purchase Common
Purchase Details,采购详情
Purchase Discounts,采购折扣
Purchase Invoice,采购发票
Purchase Invoice Advance,采购预付款发票
Purchase Invoice Advances,采购预付款发票
Purchase Invoice Item,采购发票的商品
Purchase Invoice Trends,采购发票趋势
Purchase Invoice {0} is already submitted,采购发票{0}已经提交
Purchase Order,采购订单
Purchase Order Item,采购订单商品
Purchase Order Item No,采购订单商品编号
Purchase Order Item Supplied,采购订单
Purchase Order Items,采购订单商品
Purchase Order Items Supplied,已提供的采购订单商品
Purchase Order Items To Be Billed,待付款的采购订单
Purchase Order Items To Be Received,待接收的采购订单
Purchase Order Message,采购订单信息
Purchase Order Required,必须有采购订单
Purchase Order Trends,采购订单趋势
Purchase Order number required for Item {0},商品{0}需要采购订单号
Purchase Order {0} is 'Stopped',采购订单{0}状态为'已停止'
Purchase Order {0} is not submitted,采购订单{0}状态为未提交
Purchase Orders given to Suppliers.,给供应商的采购订单。
Purchase Receipt,收货单
Purchase Receipt Item,采购商品
Purchase Receipt Item Supplied,已提供的采购商品
Purchase Receipt Item Supplieds,已提供的采购商品
Purchase Receipt Items,采购商品
Purchase Receipt Message,收货单信息
Purchase Receipt No,收货单编号
Purchase Receipt Required,必须有收货单
Purchase Receipt Trends,收货单趋势
Purchase Receipt number required for Item {0},商品{0}需要收货单编号
Purchase Receipt {0} is not submitted,收货单{0}状态为未提交
Purchase Register,登记购买
Purchase Return,采购退回
Purchase Returned,Purchase Returned
Purchase Taxes and Charges,采购税和附加费
Purchase Taxes and Charges Master,采购税和附加费基础数据
Purchse Order number required for Item {0},商品{0}需要采购订单号
Purpose,用途
Purpose must be one of {0},目的必须是{0}中的一个
QA Inspection,质检
Qty,数量
Qty Consumed Per Unit,每单位消耗的数量
Qty To Manufacture,生产数量
Qty as per Stock UOM,数量（仓库计量单位）
Qty to Deliver,交付数量
Qty to Order,订单数量
Qty to Receive,接收数量
Qty to Transfer,转移数量
Qualification,资格
Quality,质量
Quality Inspection,质量检查
Quality Inspection Parameters,质检参数
Quality Inspection Reading,质量检测取样
Quality Inspection Readings,质量检测取样
Quality Inspection required for Item {0},产品{0}必须质检
Quality Management,质量管理
Quantity,数量
Quantity Requested for Purchase,采购数量需求
Quantity and Rate,数量及价格
Quantity and Warehouse,数量和仓库
Quantity cannot be a fraction in row {0},行{0}中的数量不能是小数
Quantity for Item {0} must be less than {1},产品{0}的数量必须小于{1}
Quantity in row {0} ({1}) must be same as manufactured quantity {2},行 {0} ({1}) 必须与生产出来的数量一致 {2}
Quantity of item obtained after manufacturing / repacking from given quantities of raw materials,在给定原材料数量上生产或重新打包后得到的商品的数量
Quantity required for Item {0} in row {1},行{0}中的产品{1}数量是必须的
Quarter,季度
Quarterly,按季度
Quick Help,快速帮助
Quotation,报价单
Quotation Item,产品报价
Quotation Items,报价产品
Quotation Lost Reason,报价失败原因
Quotation Message,报价信息
Quotation To,报价对象
Quotation Trends,报价趋势
Quotation {0} is cancelled,报价{0}将被取消
Quotation {0} not of type {1},报价单{0}不是{1}中的一种
Quotations received from Suppliers.,从供应商收到的报价
Quotes to Leads or Customers.,报价给客户或潜在客户
Raise Material Request when stock reaches re-order level,当库存（某商品）达到再下单的条件时，自动生成物料需求
Raised By,发起人
Raised By (Email),发起人(邮箱)
Random,随机
Range,范围
Rate,价格或比例
Rate,价格或比例
Rate (%),比例 (%)
Rate (Company Currency),汇率 (公司货币)
Rate Of Materials Based On,材料价格基于
Rate and Amount,价格及金额
Rate at which Customer Currency is converted to customer's base currency,客户公司货币转换为本公司货币的比率
Rate at which Price list currency is converted to company's base currency,价目表货币转换为本公司货币的比率
Rate at which Price list currency is converted to customer's base currency,价目表货币转换为客户公司货币的比率
Rate at which customer's currency is converted to company's base currency,客户公司货币转换为本公司货币的比率
Rate at which supplier's currency is converted to company's base currency,供应商公司货币转换为本公司货币的比率
Rate at which this tax is applied,基于价格应用的税款
Raw Material,原料
Raw Material Item Code,原料产品编号
Raw Materials Supplied,原料供应
Raw Materials Supplied Cost,原料供应成本
Raw material cannot be same as main Item,原料不能跟主产品一样
Re-Order Level,重复订购条件（数量）
Re-Order Qty,重复订购数量
Re-order,重复订购
Re-order Level,重复订购条件（数量）
Re-order Qty,重复订购数量
Read,阅读
Reading 1,结果1
Reading 10,结果10
Reading 2,结果2
Reading 3,结果3
Reading 4,结果4
Reading 5,结果5
Reading 6,结果6
Reading 7,结果7
Reading 8,结果8
Reading 9,结果9
Real Estate,不动产
Reason,原因
Reason for Leaving,离职原因
Reason for Resignation,辞职原因
Reason for losing,丢失原因
Recd Quantity,收到数量
Receivable,应收款项
Receivable / Payable account will be identified based on the field Master Type,收支账户会基于字段基础数据类型进行判定
Receivables,应收款项
Receivables / Payables,应收/应付账款
Receivables Group,应收账款组
Received Date,收到日期
Received Items To Be Billed,已收货但未付款的商品
Received Qty,已收到数量
Received and Accepted,已收到并接受
Receiver List,接收者列表
Receiver List is empty. Please create Receiver List,接收者列表为空，请创建接收者列表。
Receiver Parameter,接收者参数
Recipients,收件人
Reconcile,校正
Reconciliation Data,校正数据
Reconciliation HTML,Reconciliation HTML
Reconciliation JSON,Reconciliation JSON
Record item movement.,产品移动记录。
Recurring Id,ID
Recurring Invoice,经常性发票
Recurring Type,类型
Reduce Deduction for Leave Without Pay (LWP),为无薪假减少扣除项
Reduce Earning for Leave Without Pay (LWP),为无薪假减少收入项
Ref,参考
Ref Code,参考代码
Ref SQ,Ref SQ
Reference,相关
Reference #{0} dated {1},请参考 #{0} 日期为 {1}
Reference Date,参考日期
Reference Name,参考名称
Reference No & Reference Date is required for {0},{0}的参考号以及日期必须指定
Reference No is mandatory if you entered Reference Date,参考编号是强制性的，如果你输入了参考日期
Reference Number,参考号码
Reference Row #,参考行＃
Refresh,刷新
Registration Details,登记详情
Registration Info,登记信息
Rejected,已拒绝
Rejected Quantity,不合格数量
Rejected Serial No,不合格品序列号
Rejected Warehouse,不合格品存放仓库
Rejected Warehouse is mandatory against regected item,拒绝收货的商品的库存必须指定
Relation,关系
Relieving Date,解约日期
Relieving Date must be greater than Date of Joining,解除日期必须大于加入的日期
Remark,备注
Remarks,摘要
Remarks Custom,自定义摘要
Rename,重命名
Rename Log,重命名日志
Rename Tool,重命名工具
Rent Cost,租金成本
Rent per hour,每小时租金
Rented,租用
Repeat on Day of Month,每月的同一天重复
Replace,替换
Replace Item / BOM in all BOMs,替换所有物料清单中的商品/物料清单
Replied,已回复
Report Date,报表（告）日期
Report Type,报表（告）类型
Report Type is mandatory,报表（告）类型是强制性的
Reports to,报告给（上级）
Reqd By Date,需要的日期
Reqd by Date,需要的日期
Request Type,请求类型
Request for Information,需要信息
Request for purchase.,所需物料采购。
Requested,要求
Requested For,目的
Requested Items To Be Ordered,等待下单的申请的商品
Requested Items To Be Transferred,等待转移的申请的商品
Requested Qty,要求数量
"Requested Qty: Quantity requested for purchase, but not ordered.",数量要求：采购要求数量，但没有下单。
Requests for items.,产品所需物料
Required By,需求方
Required Date,需用日期
Required Qty,所需数量
Required only for sample item.,Required only for sample item.
Required raw materials issued to the supplier for producing a sub - contracted item.,需要发到分包商进行生产的原材料
Research,调查
Research & Development,研究与发展
Researcher,研究员
Reseller,经销商(第三方)
Reserved,保留的
Reserved Qty,保留数量
"Reserved Qty: Quantity ordered for sale, but not delivered.",保留数量：销售订购数量，但未交付。
Reserved Quantity,保留数量
Reserved Warehouse,储备仓库
Reserved Warehouse in Sales Order / Finished Goods Warehouse,销售单中的储备仓库 / 成品存放仓库
Reserved Warehouse is missing in Sales Order,储备仓库在销售订单中未指定
Reserved Warehouse required for stock Item {0} in row {1},在行{1}中，必须为存储产品{0}保留仓库
Reserved warehouse required for stock item {0},必须为存储产品{0}保留仓库
Reserves and Surplus,储备及盈余
Reset Filters,重设过滤器
Resignation Letter Date,辞职信日期
Resolution,决议
Resolution Date,决议日期
Resolution Details,决议详情
Resolved By,决议人
Rest Of The World,世界其余地区
Retail,零售
Retail & Wholesale,零售及批发
Retailer,零售商
Review Date,复审日期
Rgt,RGT
Role Allowed to edit frozen stock,允许编辑冻结库存的角色
Role that is allowed to submit transactions that exceed credit limits set.,此角色用户可以提交超过信用期的交易。
Root Type,根类型
Root Type is mandatory,根类型是强制性的
Root account can not be deleted,根帐号不能被删除
Root cannot be edited.,根不能被编辑。
Root cannot have a parent cost center,根不能有一个父成本中心
Rounded Off,四舍五入
Rounded Total,总额（四舍五入）
Rounded Total (Company Currency),总额（四舍五入，公司货币）
Row # ,行 #
Row # {0}: , 行 # {0}
Row #{0}: Ordered qty can not less than item's minimum order qty (defined in item master).,行#{0}：订购数量不能少于商品的最低订单数量(在商品基础数据中定义)
Row #{0}: Please specify Serial No for Item {1},行#{0}：请注明商品序号{1}
"Row {0}: Account does not match with \
						Purchase Invoice Credit To account","行{0}：\
Account does not match with Purchase Invoice Credit To account"
"Row {0}: Account does not match with \
						Sales Invoice Debit To account","行{0}：\
Account does not match with Sales Invoice Debit To account"
Row {0}: Conversion Factor is mandatory,行{0}：转换系数是强制性的
Row {0}: Credit entry can not be linked with a Purchase Invoice,行{0}: Credit entry can not be linked with a Purchase Invoice
Row {0}: Debit entry can not be linked with a Sales Invoice,行{0}: Debit entry can not be linked with a Sales Invoice
Row {0}: Payment amount must be less than or equals to invoice outstanding amount. Please refer Note below.,行{0}：付款金额必须小于或等于发票未付金额。请参考下面的说明。
Row {0}: Qty is mandatory,行{0}：数量是强制性的
"Row {0}: Qty not avalable in warehouse {1} on {2} {3}.
					Available Qty: {4}, Transfer Qty: {5}","行{0}：仓库{1}数量中在{2} {3}中不可用
有货数量：{4}，转移数量：{5}"
"Row {0}: To set {1} periodicity, difference between from and to date \
						must be greater than or equal to {2}","行{0}：设置{1}的周期性，\
开始日期和结束日期之间的天数必须大于或等于{2}"
Row {0}:Start Date must be before End Date,行{0} ：开始日期必须在结束日期之前
Rules for adding shipping costs.,增加运输成本的规则。
Rules for applying pricing and discount.,定价和折扣的规则。
Rules to calculate shipping amount for a sale,销售运输费用计算规则
S.O. No.,订单编号
SHE Cess on Excise,SHE Cess on Excise
SHE Cess on Service Tax,SHE Cess on Service Tax
SHE Cess on TDS,SHE Cess on TDS
SMS Center,短信中心
SMS Gateway URL,短信网关URL
SMS Log,短信日志
SMS Parameter,短信参数
SMS Sender Name,短信发送者名称
SMS Settings,短信设置
SO Date,销售订单日期
SO Pending Qty,销售订单中等待的数量
SO Qty,销售订单数量
Salary,薪水
Salary Information,薪资信息
Salary Manager,薪资管理
Salary Mode,薪水发放模式
Salary Slip,工资单
Salary Slip Deduction,工资条扣除
Salary Slip Earning,工资条收入
Salary Slip of employee {0} already created for this month,员工{0}本月的工资单已创建
Salary Structure,薪酬结构
Salary Structure Deduction,薪酬扣除的结构
Salary Structure Earning,薪酬收入结构
Salary Structure Earnings,薪酬收入结构
Salary breakup based on Earning and Deduction.,基于收入与扣除的薪资细节
Salary components.,工资组成部分。
Salary template master.,主要的薪资模板。
Sales,销售
Sales Analytics,销售分析
Sales BOM,捆绑销售（BOM）
Sales BOM Help,销售BOM帮助
Sales BOM Item,销售BOM产品
Sales BOM Items,销售BOM产品
Sales Browser,Sales Browser
Sales Details,销售详情
Sales Discounts,销售折扣
Sales Email Settings,销售电子邮件设置
Sales Expenses,销售费用
Sales Extras,额外附加费用
Sales Funnel,销售漏斗
Sales Invoice,销售发票
Sales Invoice Advance,预付款发票
Sales Invoice Item,销售发票项
Sales Invoice Items,销售发票所有项
Sales Invoice Message,销售发票信息
Sales Invoice No,销售发票号码
Sales Invoice Trends,销售发票趋势
Sales Invoice {0} has already been submitted,销售发票{0}已提交
Sales Invoice {0} must be cancelled before cancelling this Sales Order,在取消该订单之前，必须先取消销售发票{0}
Sales Order,销售订单
Sales Order Date,销售订单日期
Sales Order Item,销售订单项
Sales Order Items,销售订单所有项
Sales Order Message,销售订单信息
Sales Order No,销售订单号
Sales Order Required,必须有销售订单
Sales Order Trends,销售订单趋势
Sales Order required for Item {0},产品{0}的销售订单是必须的
Sales Order {0} is not submitted,销售订单{0}未提交
Sales Order {0} is not valid,销售订单{0}无效
Sales Order {0} is stopped,销售订单{0}被停止
Sales Partner,销售伙伴
Sales Partner Name,销售伙伴名称
Sales Partner Target,销售伙伴目标
Sales Partners Commission,销售伙伴佣金
Sales Person,销售人员
Sales Person Name,销售人员的姓名
Sales Person Target Variance Item Group-Wise,销售人员目标与实销
Sales Person Targets,销售人员目标
Sales Person-wise Transaction Summary,销售人员业绩汇总
Sales Register,销售登记
Sales Return,销售退回
Sales Returned,销售已退回
Sales Taxes and Charges,销售税和费用
Sales Taxes and Charges Master,销售税和附加费基础数据
Sales Team,销售团队
Sales Team Details,销售团队详细
Sales Team1,销售团队1
Sales and Purchase,销售和采购
Sales campaigns.,销售活动。
Salutation,称呼
Sample Size,样本数量
Sanctioned Amount,批准金额
Saturday,星期六
Schedule,时间表
Schedule Date,计划日期
Schedule Details,计划详细信息
Scheduled,计划内的
Scheduled Date,计划日期
Scheduled to send to {0},将发送到{0}
Scheduled to send to {0} recipients,将发送到收件人{0}
Scheduler Failed Events,定时器错误
School/University,学校/大学
Score (0-5),得分（0-5）
Score Earned,评分
Score must be less than or equal to 5,分数必须小于或等于5
Scrap %,损耗率 %
Seasonality for setting budgets.,季度设定预算。
Secretary,秘书
Secured Loans,抵押贷款
Securities & Commodity Exchanges,证券及商品交易市场
Securities and Deposits,证券及存款
"See ""Rate Of Materials Based On"" in Costing Section",参见成本核算部分的“材料价格基于”字段
"Select ""Yes"" for sub - contracting items","如果是分包商品请选择是"
"Select ""Yes"" if this item is used for some internal purpose in your company.",选择“是”，如果该产品是用于公司内部
"Select ""Yes"" if this item represents some work like training, designing, consulting etc.",选择“是”，如果该产品代表一些服务类型的工作，例如培训、设计、咨询等服务产品。
"Select ""Yes"" if you are maintaining stock of this item in your Inventory.",如果您想在库存中维护这个产品的库存请选择“是”
"Select ""Yes"" if you supply raw materials to your supplier to manufacture this item.",选择“是”，如果您提供原料给供应商来生产该产品。
Select Brand...,请选择品牌...
Select Budget Distribution to unevenly distribute targets across months.,请选择每月预算分配方案。
"Select Budget Distribution, if you want to track based on seasonality.",选择预算分配，如果你想要基于季度来跟踪。
Select Company...,选择公司...
Select DocType,选择档案类型
Select Fiscal Year...,选择会计年度...
Select Items,选择产品
Select Project...,选择项目...
Select Purchase Receipts,选择采购入库单
Select Sales Orders,选择销售订单
Select Sales Orders from which you want to create Production Orders.,选择你想创建为生产订单的销售订单
Select Time Logs and Submit to create a new Sales Invoice.,选择时间日志提交创建一个新的销售发票。
Select Transaction,选择交易
Select Warehouse...,选择仓库...
Select Your Language,选择您的语言
Select account head of the bank where cheque was deposited.,选取支票存入的银行账户。
Select company name first.,先选择公司名称。
Select template from which you want to get the Goals,从您想要得到的目标选择模板
Select the Employee for whom you are creating the Appraisal.,选择要为其创建考核的员工。
Select the period when the invoice will be generated automatically,Select the period when the invoice will be generated automatically
Select the relevant company name if you have multiple companies,选择相关的公司名称如果您有多个公司
Select the relevant company name if you have multiple companies.,选择相关的公司名称如果您有多个公司。
Select who you want to send this newsletter to,选择你想发送此简讯的人
Select your home country and check the timezone and currency.,选择您的国家并检查时区和货币。
"Selecting ""Yes"" will allow this item to appear in Purchase Order , Purchase Receipt.",选择“是”，将允许该产品出现在采购订单和收货单中。
"Selecting ""Yes"" will allow this item to figure in Sales Order, Delivery Note",选择“是”，将允许该产品出现在销售单和发货单中。
"Selecting ""Yes"" will allow you to create Bill of Material showing raw material and operational costs incurred to manufacture this item.",如果选择“是”，在生产该产品时将允许你创建物料清单并产生操作成本。
"Selecting ""Yes"" will allow you to make a Production Order for this item.",选择“是”将允许你为该产品创建一个生产订单。
"Selecting ""Yes"" will give a unique identity to each entity of this item which can be viewed in the Serial No master.",选择“是”将赋予商品独一无二的编号并且在编号基础数据中可以通过编号进行查看
Selling,销售
Selling Settings,销售设置
"Selling must be checked, if Applicable For is selected as {0}",如果应用于被选择为{0}，销售选项必须被勾选上
Send,发送
Send Autoreply,发送自动回复
Send Email,发送电​​子邮件
Send From,发送方
Send Notifications To,发送通知到
Send Now,立即发送
Send SMS,发送短信
Send To,发送到
Send To Type,发送对象类型
Send mass SMS to your contacts,发送群发短信到您的联系人
Send to this list,发送到这个列表
Sender Name,发件人名称
Sent On,发送
Separate production order will be created for each finished good item.,将为每个已完成的商品项创建单独的生产订单
Serial No,序列号
Serial No / Batch,序列号/批次
Serial No Details,序列号详情
Serial No Service Contract Expiry,序列号服务合同到​​期
Serial No Status,序列号状态
Serial No Warranty Expiry,序列号保修到期
Serial No is mandatory for Item {0},产品{0}的序列号是强制性的
Serial No {0} created,序列号{0}已创建
Serial No {0} does not belong to Delivery Note {1},序列号{0}不属于发货单{1}
Serial No {0} does not belong to Item {1},序列号{0}不属于产品{1}
Serial No {0} does not belong to Warehouse {1},序列号{0}不属于仓库{1}
